game_id,season,week,game_type,gameday,home_team,away_team,div_game,vegas_spread_display,model_spread_display,spread_line,pred_margin,spread_edge,spread_hit,home_moneyline,away_moneyline,fair_home_ml_prob,pred_home_win_prob,ml_edge,ml_hit,total_line,home_score,away_score,actual_margin,actual_winner,is_outdoor,temp,wind,home_rest_days,away_rest_days
2025_02_BUF_NYJ,2025,2,REG,2025-09-14,NYJ,BUF,1,BUF -6.0,BUF -6.4,-6.0,-6.43115559220314,-0.43115559220314026,True,235.0,-290.0,0.28644876973925815,0.21219636431564276,-0.07425240542361539,1.0,47.5,10.0,30.0,-20.0,away,1,80.0,3.0,7,7
2025_02_SEA_PIT,2025,2,REG,2025-09-14,PIT,SEA,0,PIT -3.5,PIT -1.5,3.5,1.5298949480056763,-1.9701050519943237,True,-192.0,160.0,0.6309403437815976,0.5469600109528334,-0.08398033282876416,1.0,40.5,17.0,31.0,-14.0,away,1,79.0,5.0,7,7
2025_02_LA_TEN,2025,2,REG,2025-09-14,TEN,LA,0,LA -5.5,LA -6.5,-5.5,-6.481137633323669,-0.9811376333236694,True,205.0,-250.0,0.31460674157303364,0.2106261815629128,-0.10398056001012085,1.0,41.5,19.0,33.0,-14.0,away,1,83.0,3.0,7,7
2025_02_TB_HOU,2025,2,REG,2025-09-15,HOU,TB,0,HOU -2.5,HOU -2.0,2.5,1.9891211986541748,-0.5108788013458252,True,-135.0,114.0,0.551441114716549,0.5683025905100237,0.016861475793474745,0.0,42.5,19.0,20.0,-1.0,away,0,70.0,0.0,8,8
2025_02_LAC_LV,2025,2,REG,2025-09-15,LV,LAC,1,LAC -3.5,LAC -5.8,-3.5,-5.839507818222046,-2.339507818222046,True,164.0,-198.0,0.3630958183058778,0.2314307004448451,-0.1316651178610327,1.0,46.5,9.0,20.0,-11.0,away,0,70.0,0.0,8,10
2025_03_MIA_BUF,2025,3,REG,2025-09-18,BUF,MIA,1,BUF -12.5,BUF -13.5,12.5,13.489489793777466,0.9894897937774658,False,-800.0,550.0,0.8524590163934427,0.9199736296802348,0.06751461328679209,1.0,50.5,31.0,21.0,10.0,home,1,68.0,7.0,4,4
2025_03_ATL_CAR,2025,3,REG,2025-09-21,CAR,ATL,1,ATL -5.5,ATL -7.8,-5.5,-7.817957639694214,-2.317957639694214,False,185.0,-225.0,0.33635187580853815,0.171780980759696,-0.16457089504884215,0.0,44.5,30.0,0.0,30.0,home,1,83.0,5.0,7,7
2025_03_DAL_CHI,2025,3,REG,2025-09-21,CHI,DAL,0,DAL -1.5,DAL -2.8,-1.5,-2.7854297161102295,-1.2854297161102295,False,105.0,-125.0,0.4675324675324675,0.3487000242350723,-0.11883244329739523,0.0,49.5,31.0,14.0,17.0,home,1,82.0,4.0,7,7
2025_03_GB_CLE,2025,3,REG,2025-09-21,CLE,GB,0,GB -8.5,GB -10.0,-8.5,-9.988783836364746,-1.488783836364746,False,360.0,-470.0,0.20863836017569545,0.12109359468318293,-0.08754476549251253,0.0,41.5,13.0,10.0,3.0,home,1,79.0,10.0,7,10
2025_03_HOU_JAX,2025,3,REG,2025-09-21,JAX,HOU,1,JAX -1.5,JAX -2.6,1.5,2.5790549516677856,1.0790549516677856,True,-125.0,105.0,0.5324675324675325,0.5953417297080614,0.0628741972405289,1.0,43.5,17.0,10.0,7.0,home,1,85.0,11.0,7,6
2025_03_DEN_LAC,2025,3,REG,2025-09-21,LAC,DEN,1,LAC -2.5,DEN -3.3,2.5,-3.3456430435180664,-5.845643043518066,False,-155.0,130.0,0.5829926410466066,0.3251241790847471,-0.25786846196185953,0.0,45.5,23.0,20.0,3.0,home,0,70.0,0.0,6,7
